Date,Month,Accion,EV / Free Cashflow,EV / EBITDA,EV / Revenue,Total Liabilities / Total Assets,Long Term Liabilities / Total Assets,ROIC,Total Current Liabilities / Total Liabilities,ROE,PER,Sector,Year
2017-09-30,9,NWL,328.180027547651,71.05469038515052,10.81692866278441,0.6231704438149197,0.4822887157695939,0.009381872531226645,0.22607254474855573,0.018406835029526322,46.077005298456285,Consumer Defensive,2017
2017-06-30,6,NWL,-901.2493462718205,73.11531769224929,12.01713340561856,0.6383446244477172,0.49721649484536085,0.011637063610114623,0.22108454304672434,0.018212407304563718,59.08643232464222,Consumer Defensive,2017
2017-03-31,3,NWL,-76.31134702529091,25.672013779031744,8.51122790965725,0.6391272914898021,0.509588934252879,0.04055982607690495,0.20268005913965875,0.0532278502117443,23.657538585334258,Consumer Defensive,2017
2016-12-31,12,NWL,33.209964275473936,66.73856577114911,524.9680767923031,0.6635567048393055,0.5367151828592538,0.012664374219236253,0.19115400546027053,0.014591851120823347,64.1974662650294,Consumer Defensive,2016
2016-09-30,9,NWL,80.25011032433818,67.51695403854825,7.897977782388212,0.666943673635426,0.5487847045662565,0.013809827696234844,0.1771648397609048,0.016320708485018202,68.80582951951301,Consumer Defensive,2016
2016-06-30,6,NWL,59.10797180726356,67.8036100438099,7.429473468751057,0.6659402214087344,0.5426899482555005,0.012521545168812733,0.18507708228301537,0.01195328317433934,71.86807548048844,Consumer Defensive,2016
2016-03-31,3,NWL,-38.567695178924666,97.35232734680177,9.180689475247865,0.8839937910883857,0.7408431597620788,0.01633934320669671,0.16193624069469756,0.022814330779630465,94.64060331560147,Consumer Defensive,2016
2015-12-31,12,NWL,46.6102442528057,169.56014074957614,7.409022039416385,0.7484124250981473,0.47448171361664027,0.00547112462006079,0.36601571846643716,0.007241209062482856,136.98754444806698,Consumer Defensive,2015
2015-09-30,9,NWL,38.216566517960096,46.947821969026236,6.769078121808619,0.7367785807857049,0.42161350623353305,0.04173524570891136,0.42776090778328263,0.07519049753473778,42.59443588751182,Consumer Defensive,2015
2015-06-30,6,NWL,159.47862121198304,42.54441512995285,6.906755585835128,0.7437632925216991,0.4123124676668391,0.0477022977022977,0.4456402032575304,0.08344571813890762,40.84103552293467,Consumer Defensive,2015
